List of GSM companies w.e.f 06.06.2019,,,,
Sr. No.,Scrip code,Security Name,ISIN,GSM Stage
113,539600,Chamak Holdings Ltd,INE049R01013,0
114,540829,Chandrima Mercantiles Ltd,INE371F01016,0
115,531327,Charms Industries Ltd,INE442C01012,V
116,504671,Chase Bright Steel Ltd,NA,0
117,539011,Chennai Ferrous Industries Ltd,INE777O01016,0
118,521244,Chitradurga Spintex Ltd,INE676G01024,I
119,539335,CHPL Industries Ltd,INE714Q01014,I
120,531283,Cindrella Financial Services Ltd,INE897D01015,I
121,530457,Cinerad Communications Ltd,INE959B01017,0
122,531775,CISTRO Telelink Ltd,INE365C01023,I
123,531235,Citi Port Financial Services Ltd,INE494D01011,I
124,514366,Citizen Yarns Ltd,INE940P01025,I
125,521210,Cityman Ltd,INE117C01010,I
126,540310,Classic Filaments Ltd,INE181U01018,0
127,512018,CNI Research Ltd,INE135H01029,I
128,508571,Cochin Malabar Estates & Industries Ltd,INE788M01017,II
129,524752,Combat Drugs Ltd,INE643N01012,I
130,532342,Commex Technology Ltd,INE354B01029,0
131,539266,Concrete Credit Ltd,INE719G01014,0
132,539091,Consecutive Investment & Trading Company Ltd,INE187R01011,0
133,531460,Continental Controls Ltd,INE545B01022,I
134,538868,Continental Securities Ltd,INE183Q01012,0
135,540199,Corporate Merchant Bankers Ltd,INE850R01014,0
136,530859,Cosboard Industries Ltd,INE496D01016,II
137,523415,Coventry Coil-O-Matic Haryana Ltd,INE964D01013,I
138,524388,Crazy Infotech Ltd,INE664B01021,I
139,539131,Crescent Leasing Ltd,INE767G01013,0
140,526269,Crestchem Ltd,INE293N01016,I
141,532332,Cura Technologies Ltd,INE117B01012,I
142,532364,Cyberscape Multimedia Ltd,INE519B01019,VI
143,539900,Dalmia Industrial Development Ltd,INE642P01019,I
144,512595,Unimode Overseas Ltd,INE348N01034,I
145,526443,Datasoft Application Software India Ltd,INE072B01019,IV
146,519413,Datiware Maritime Infra Ltd,INE673U01014,II
147,531270,Dazzel Confindive Ltd,INE149E01027,VI
148,511611,DCM Financial Services Ltd,INE891B01012,0
149,505703,Deccan Bearings Ltd,INE498D01012,I
150,539190,Decillion Finance Ltd,INE848N01017,VI
151,539405,Decorous Investment & Trading Co Ltd,INE183R01010,0
152,539455,Deepti Alloy Steel Ltd,INE360S01012,I
153,539596,Delta Industrial Resources Ltd,INE681Q01015,I
154,504240,Delton Cables Ltd,INE872E01016,0
155,526959,Woodsvilla Ltd,INE374J01020,0
156,539197,Devhari Exports (India) Ltd,INE553P01018,I
157,531585,Devine Impex Ltd,INE455C01014,I
158,511451,Dharani Finance Ltd,INE899D01011,I
159,507886,Dhruv Estates Ltd,INE780E01011,I
