List of GSM companies w.e.f 06.06.2019,,,,
Sr. No.,Scrip code,Security Name,ISIN,GSM Stage
493,514414,Oxford Industries Ltd,INE114D01015,VI
494,539291,Ozone World Ltd,INE583K01016,I
495,538963,Pact Industries Ltd,INE494K01024,0
496,531395,Padam Cotton Yarns Ltd,INE448D01017,0
497,539121,Palco Metals Ltd,INE239L01013,0
498,511597,Palsoft Infosystems Ltd,INE969B01016,0
499,517397,Pan Electronics India Ltd,INE648E01010,I
500,538860,Panafic Industrials Ltd,INE655P01029,0
501,531280,Pankaj Polymers Ltd,INE698B01011,II
502,500322,Panyam Cements & Mineral Industries Ltd,INE167E01029,I
503,530291,Paos Industries Ltd,INE791C01012,V
504,533211,Parabolic Drugs Ltd,INE618H01016,I
505,521246,Paras Petrofils Ltd,INE162C01024,VI
506,539481,Pariksha Fin- Invest- Lease Ltd,INE270F01010,0
507,524628,Parker Agrochem Exports Ltd,INE750B01010,I
508,540359,Parmax Pharma Ltd,INE240T01014,0
509,538646,QGO Finance Ltd,INE837C01013,V
510,511702,Parsharti Investment Ltd,INE290E01011,0
511,526349,Parth Industries Ltd,INE218T01010,0
512,511734,Pasupati Fincap Ltd,INE527C01010,I
513,535658,Pawansut Holdings Ltd,INE260M01017,I
514,504335,Pazel International Ltd,INE040N01029,I
515,513405,Pennar Aluminium Company Ltd,INE057C01018,VI
516,530381,Petron Engineering Construction Ltd,INE742A01019,I
517,500143,PH Capital Ltd,INE160F01013,0
518,512026,PH Trading Ltd,INE603D01017,0
519,524572,Pharmaids Pharmaceuticals Ltd,INE117D01018,VI
520,526588,Photoquip India Ltd,INE813B01016,I
521,524808,Phyto Chem India Ltd,INE037C01010,0
522,539007,Pincon Lifestyle Ltd,INE115R01012,III
523,532979,Piramal Phytocare Ltd,INE122J01015,I
524,530683,Pithampur Poly Products Ltd,INE747D01012,0
525,523105,Planters Polysacks Ltd,INE293E01023,0
526,512481,Polytex India Ltd,INE012F01016,I
527,531855,Prabhav Industries Ltd,INE538J01012,VI
528,533178,Pradip Overseas Ltd,INE495J01015,I
529,526490,Pratik Panels Ltd,INE206C01011,I
530,502850,Gaekwar Mills Ltd,INE837X01027,IV
531,500540,Premier Ltd,INE342A01018,I
532,519299,Prime Industries Ltd,INE543F01010,0
533,531735,Prism Finance Ltd,INE429Q01019,0
534,512217,Prism Medico and Pharmacy Ltd,INE730E01016,I
535,526009,Procal Electronics India Ltd,INE700B01015,I
536,531265,Progressive Extractions & Exports Ltd,INE421E01012,0
537,532647,Provogue (India) Ltd,INE968G01033,I
538,531221,Mayur Floorings Ltd,INE262W01012,I
539,512099,Punit Commercials Ltd,INE750G01019,0
540,538596,Quantum Build-Tech Ltd,INE222B01028,I
541,538452,Quasar India Ltd,INE855P01033,III
542,535719,Quest Softech (India) Ltd,INE989J01017,0
543,532866,Quintegra Solutions Ltd,INE033B01011,0
544,524502,Raaj Medisafe India Ltd,INE548H01015,I
545,526813,Raghunath International Ltd,INE753B01014,0
546,531887,Rahul Merchandising Ltd,INE149D01011,0
547,531694,Rainbow Foundations Ltd,INE230F01014,II
548,523523,Rainbow Papers Ltd,INE028D01025,I
549,530699,Raj Rayon Industries Ltd,INE533D01024,I
550,526873,Rajasthan Gases Ltd,INE184D01018,0
551,506975,Rajasthan Petro Synthetics Ltd,INE374C01017,IV
552,507962,Rajath Finance Ltd,INE455H01013,0
553,526823,Rajeswari Infrastructure Ltd,INE016C01014,V
554,514028,Rajkamal Synthetics Ltd,INE376L01013,I
555,539090,Rajputana Investment and Finance Ltd,INE751R01014,III
556,512409,Rajsanket Realty Ltd,INE314F01016,0
557,532665,Rajvir Industries Ltd,INE011H01014,I
558,532690,Ramsarup Industries Ltd,INE005D01015,IV
559,531228,Rander Corporation Ltd,INE821D01031,I
560,531522,Rasoya Proteins Ltd,INE904G01038,VI
561,507652,Ratnamani Agro Industries Ltd,INE679N01016,I
562,531207,Raymed Labs Ltd,INE741C01017,0
563,532024,RB Gupta Financials Ltd,INE056J01015,0
564,531825,RCC Cements Ltd,INE335N01015,0
565,530053,Real News & Views Ltd,INE055E01026,0
566,523650,Redex Protech Ltd,INE823D01011,I
567,531033,Regal Entertainment & Consultants Ltd,INE101E01010,I
568,530807,Regaliaa Realty Ltd,INE098H01011,I
569,511585,Regency Trust Ltd,INE425F01028,0
570,526075,Rekvina Laboratories Ltd,INE092O01028,0
571,538273,Response Informatics Ltd,INE401B01010,III
572,533017,Resurgere Mines & Minerals India Ltd,INE774I01031,VI
573,519191,Retro Green Revolution Ltd,INE601N01010,0
574,532766,Richa Industries Ltd,INE516H01012,I
575,519230,Richirich Inventures Ltd,INE102C01020,II
576,507508,Riga Sugar Company Ltd,INE909C01010,I
577,514177,Rishab Special Yarns Ltd,NA,0
578,532731,Rohit Ferro-Tech Ltd,INE248H01012,I
579,531324,Roselabs Finance Ltd,INE475C01012,0
580,539922,Rotographics (India) Ltd,INE364S01014,III
581,539561,Roxy Exports Ltd,INE549S01010,III
582,526193,Royal Cushion Vinyl Products Ltd,INE618A01011,0
583,530179,RSC International Ltd,INE015F01019,0
584,512565,RT Exports Ltd,INE581D01015,0
585,531099,Rubra Medicaments Ltd,INE396H01019,0
586,540696,Ruchika Industries India Ltd,INE185U01027,III
587,532316,S Kumars.Com Ltd,INE827A01018,II
588,538876,S T Services Ltd,INE907D01012,VI
589,540081,SAB Events & Governance Now Media Ltd,INE860T01019,0
590,540132,Sabrimala Industries India Ltd,INE400R01018,I
591,539346,Sadbhav Infrastructure Project Ltd,INE764L01010,0
592,532034,Safal Herbs Ltd,INE880M01020,0
593,531448,Safal Securities Ltd,INE101L01031,I
594,532092,Sagar Productions Ltd,INE807D01030,I
595,509099,Oswal Leasing Ltd,INE811Q01018,0
596,530669,Prem Somani Financial Services Ltd,INE035401012,0
597,526085,Sagar Tourist Resorts Ltd,INE01M801019,0
598,530905,Sai Industries Ltd,NA,0
599,540066,Sai Moh Auto Links Ltd,INE345U01019,I
600,500371,Samtel India Ltd,INE538C01017,0
601,521206,Samtex Fashions Ltd,INE931D01020,I
602,509423,Sanathnagar Enterprises Ltd,INE367E01033,I
603,539392,Sang Froid Labs (India) Ltd,INE345S01013,III
604,534618,Sangam Renewables Ltd,INE299N01013,I
605,511640,Sanghi Corporate Services Ltd,INE998M01012,0
606,531569,Sanjivani Paranteral Ltd,INE860D01013,I
607,530035,Santosh Fine Fab Ltd,INE612D01018,0
608,519238,Saptarishi Agro Industries Ltd,INE233P01017,II
609,516032,Sarda Papers Ltd,INE385D01011,I
610,519242,Sarda Proteins Ltd,INE995U01011,V
611,511577,Savani Financials Ltd,INE304E01010,III
612,517320,Savant Infocomm Ltd,INE898E01011,I
613,526081,SC Agrotech Ltd,INE895E01017,III
614,516110,Scandent Imaging Ltd,INE146N01016,I
615,507894,Schablona India Ltd,INE024C01026,I
616,538857,Scintilla Commercial & Credit Ltd,INE892C01018,VI
617,530361,Sea Gold Aqua Farms Ltd,INE428P01013,0
618,533268,Sea TV Network Ltd,INE351L01016,0
619,521182,Seasons Furnishings Ltd,INE454D01015,I
620,524540,Secunderabad Healthcare Ltd,INE930C01016,VI
621,538875,Sellwin Traders Ltd,INE195F01019,I
622,532021,Senbo Industries Ltd,INE792C01010,0
623,531980,Senthil Infotek Ltd,INE564B01015,0
624,531944,Servoteach Industries Ltd,INE185D01015,V
625,532993,Sezal Glass Ltd,INE955I01036,IV
626,530867,SFL International Ltd,INE320C01010,I
627,531931,Sai Capital Ltd,INE531X01018,0
628,524546,Shaba Chemicals Ltd,INE06DM01015,0
629,539895,Shalimar Agencies Ltd,INE631E01016,I
630,512297,Shantai Industries Ltd,INE408F01016,0
631,539584,Sharanam Infraproject and Trading Ltd,INE104S01022,0
632,523449,Sharp India Ltd,INE207B01011,I
633,538212,Sharp Investments Ltd,INE909D01026,II
634,540221,Shashank Traders Ltd,INE508R01018,I
635,533301,Shekhawati Poly Yarn Ltd,INE268L01020,I
636,539111,Sheshadri Industries Ltd,INE193R01019,I
637,509870,Shah Construction Company Ltd,INE02C301011,0
638,533389,Shilpi Cable Technologies Ltd,INE510K01019,I
639,524602,Shiva Medicare Ltd,INE875N01028,I
640,522237,Shivagrico Implements Ltd,INE092H01014,I
641,538520,Shivamshree Businesses Ltd,INE857P01021,III
642,502563,Shree Bhawani Paper Mills Ltd,INE688C01010,I
643,539470,Shree Ganesh Biotech (India) Ltd,INE051N01018,I
644,530797,Shree Ganesh Elastoplast Ltd,INE400N01017,0
645,532643,Shree Ganesh Forgings Ltd,INE883G01018,I
646,503863,Shree Manufacturing Company Ltd,INE632A01012,I
647,540253,Shree Nidhi Trading Co. Ltd,INE066E01015,I
648,527005,Shree Pacetronix Ltd,INE847D01010,0
649,503635,Shree Salasar Investments Ltd,INE315N01017,III
650,526335,Shreyas Intermediates Ltd,INE115F01017,I
651,538897,Shri Niwas Leasing And Finance Ltd,INE201F01015,0
652,508961,Shricon Industries Ltd,INE753D01010,0
653,531359,Shriram Asset Management Company Ltd,INE777G01012,I
654,531506,Shukra Bullions Ltd,INE561E01015,II
655,517411,Shyam Telecom Ltd,INE635A01023,0
656,531219,Shyama Infosys Ltd,INE861E01019,I
657,505515,Shyamkamal Investments Ltd,INE203N01015,I
658,530439,Siddha Ventures Ltd,INE140C01012,I
659,539983,Sidh Automobiles Ltd,INE403L01015,0
660,532217,Siel Financial Services Ltd,INE027F01014,0
661,524642,Sikozy Realtors Ltd,INE528E01022,IV
662,531738,Silicon Valley Infotech Ltd,INE913A01024,VI
663,531635,Silver Oak India Ltd,INE870J01019,0
664,512197,Silveroak Commercials Ltd,INE798C01017,0
665,536073,Silverpoint Infratech Ltd,INE890N01019,VI
666,533018,Simplex Mills Company Ltd,INE457H01019,I
667,533019,Simplex Papers Ltd,INE456H01011,0
668,512153,Specular Marketing & Financing Ltd,INE808W01012,0
669,509887,Sinnar Bidi Udyog Ltd,INE896E01015,0
670,523164,SIP Industries Ltd,INE186B01017,0
671,532879,Sir Shadi Lal Enterprises Ltd,INE117H01019,I
672,532961,Sita Shree Food Products Ltd,INE686I01011,I
673,538919,Skyline Ventures India Ltd,INE055Q01012,0
674,522042,SM Energy Teknik & Electronics Ltd,INE540D01011,I
675,513418,Smiths & Founders (India) Ltd,INE728B01032,III
676,531838,SMS Techsoft (India) Ltd,INE648B01024,VI
677,512014,Sobhagya Mercantile Ltd,INE754D01018,0
678,538923,Sofcom Systems Ltd,INE499Q01012,0
679,504375,Softbpo Global Services Ltd,INE459E01012,0
680,500394,Solid Carbide Tools Ltd,INE161C01026,I
681,538575,Solis Marketing Ltd,INE717P01027,I
682,521034,Soma Textiles & Industries Ltd,INE314C01013,0
683,526901,Sonal Adhesives Ltd,INE344I01017,II
684,539378,Soni Medicare Ltd,INE848R01018,0
685,521036,Source Industries (India) Ltd,INE695C01015,I
686,526477,South Asian Enterprises Ltd,INE118B01010,0
687,531645,Southern Ispat and Energy Ltd,INE943B01029,VI
688,514454,Southern Latex Ltd,INE410M01018,0
689,532669,Southern Online Bio Technologies Ltd,INE371B01015,I
690,532025,Sowbhagya Media Ltd,INE826D01014,I
691,530289,SP Capital Financing Ltd,INE102F01015,I
692,531370,Sparc Systems Ltd,INE960B01015,I
693,540211,Sparkling (India) Finshares Ltd,INE181T01010,0
694,502465,Speciality Papers Ltd,INE260F01011,VI
695,513687,Spectra Industries Ltd,INE848B01012,I
696,531982,Spectrum Foods Ltd,INE547C01018,I
697,531640,Suvidha Infraestate Corporation Ltd,INE936N01010,0
698,521082,Spentex Industries Ltd,INE376C01020,I
699,526827,Spice Islands Apparels Ltd,INE882D01017,0
700,540570,Spring Fields Infraventure Ltd,INE717F01010,III
701,526532,Square Four Projects India Ltd,INE716K01012,I
702,513515,SR Industries Ltd,INE329C01011,0
703,532701,Cella Space Ltd,INE266H01014,0
704,514248,Sreechem Resins Ltd,INE377C01010,I
705,521161,Sri Lakshmi Saraswathi Textiles Arni Ltd,INE456D01010,I
706,521178,Sri Ramakrishna Mills Coimbatore Ltd,INE306D01017,I
707,515081,Sri Vajra Granites Ltd,INE047H01018,0
708,523222,SRM Energy Ltd,INE173J01018,I
709,524636,SS Organics Ltd,INE102E01018,III
710,523351,Standard Shoe Sole and Mould (India) Ltd,INE888N01013,0
711,538733,Starlit Power Systems Ltd,INE909P01012,0
712,513173,Steel Strips Infrastructures Ltd,INE205F01016,0
713,500399,Steelco Gujarat Ltd,INE629B01024,I
714,526071,Stellant Securities (India) Ltd,INE395F01023,0
715,508963,Sterling Guaranty & Finance Ltd,INE668Y01016,0
716,513575,Sterling Powergensys Ltd,INE067E01013,III
717,530231,Subhash Silk Mills Ltd,INE690D01014,I
718,506003,Sudal Industries Ltd,INE618D01015,VI
719,539117,Sujala Trading & Holdings Ltd,INE029H01016,I
720,517224,Sujana Universal Industries Ltd,INE216G01011,I
721,530445,Sumeru Industries Ltd,INE764B01029,I
722,517403,Sun Source India Ltd,INE320F01013,I
723,530763,Sunbright Stock Broking Ltd,INE476D01026,VI
724,531433,Sungold Capital Ltd,INE271D01013,I
725,531945,Sunitee Chemicals Ltd,INE714C01022,VI
726,523425,Sunraj Diamond Exports Ltd,INE459D01014,0
727,531699,Super Domestic Machines Ltd,INE215Q01012,I
728,532070,Superb Papers Ltd,INE311N01016,0
729,539835,Superior Finlease Ltd,INE574R01010,I
730,540168,Supra Pacific Management Consultancy Ltd,INE268T01015,0
731,511539,Supra Trends Ltd,INE533B01028,0
732,534733,Supremex Shine Steels Ltd,INE175N01023,0
733,531102,Surana Corporation Ltd,INE357D01010,I
734,532874,Suryachakra Power Corporation Ltd,INE274I01016,I
735,511185,Suryakrupa Finance Ltd,INE381N01019,0
736,519604,Suryo Foods & Industries Ltd,INE565E01016,0
737,506162,Terraform Magnum Ltd,INE122V01010,0
738,531885,SVA India Ltd,INE763K01014,0
739,539911,Svarnim Trade Udyog Ltd,INE730R01034,0
740,531909,Swagruha Infrastructure Ltd,INE587J01027,I
741,531003,Swarna Securities Ltd,INE595G01018,0
742,531637,Sword & Shield Pharma Ltd,INE722B01019,I
743,533157,Syncom Healthcare Ltd,INE602K01014,I
744,532444,T Spiritual World Ltd,INE541C01037,I
745,521038,Tamilnadu Jai Bharath Mills Ltd,INE868H01017,0
746,534756,Tara Jewels Ltd,INE799L01016,I
747,519285,Tarai Foods Ltd,INE906C01016,0
748,532262,TCI Industries Ltd,INE920B01019,I
749,512157,Terraform Realstate Ltd,INE123V01018,0
750,511096,Tivoli Construction Ltd,INE747V01014,0
751,509015,Thakral Services India Ltd,INE190F01028,0
752,514484,Thambbi Modern Spinning Mills Ltd,INE830D01016,II
753,531652,Thirdwave Financial Intermediaries Ltd,INE528C01018,I
754,533941,Thomas Scott (India) Ltd,INE480M01011,0
755,539008,Tirupati Fincorp Ltd,INE642O01012,III
756,539040,Tirupati Tyres Ltd,INE812Q01016,I
757,509003,Transoceanic Properties Ltd,INE074J01018,0
758,523878,Total Exports Ltd,INE109E01013,I
759,531771,Towa Sokki Ltd,INE311M01018,0
760,500421,TPI India Ltd,INE578C01021,I
761,530783,Trans Asia Corporation Ltd,INE321C01018,I
762,526961,Trans Financial Resources Ltd,INE404B01014,II
763,513063,Trans Freight Containers Ltd,INE360D01014,I
764,519367,Transglobe Foods Ltd,INE213P01019,0
765,512117,Twin Roses Trades & Agencies Ltd,INE436U01016,0
766,511730,TRC Financial Services Ltd,INE759D01017,III
767,531703,Tribhuvan Housing Ltd,INE884D01039,VI
768,531716,Tricom Fruit Products Ltd,INE843F01014,I
769,531972,Trident Tools Ltd,INE179D01018,I
770,531658,Trijal Industries Ltd,INE454E01013,III
771,536565,Trimurthi Ltd,INE314I01036,I
772,531279,Trishakti Electronics & Industries Ltd,INE238C01014,0
773,523387,Triton Corp Ltd,INE982C01033,0
774,538569,Triveni Enterprises Ltd,INE916P01025,0
775,519303,Trombo Extractions Ltd,INE850O01011,0
776,531659,TSL Industries Ltd,INE547D01016,VI
777,524514,Tulasee Bio Ethanol Ltd,INE276N01011,I
778,531088,Tulip Star Hotels Ltd,INE379C01016,I
779,532948,Tulsi Extrusions Ltd,INE474I01012,I
780,504273,Modulex Construction Technologies Ltd,INE064R01012,I
781,506808,Tuticorin Alkali Chemicals & Fertilisers Ltd,INE400A01014,I
782,512591,Pulsar International Ltd,INE183U01014,0
783,539468,Typhoon Financial Services Ltd,INE761R01013,0
784,512307,Typhoon Holdings Ltd,NA,0
785,511254,Sagar Systech Ltd,INE771Z01015,0
786,521188,United Textiles Ltd,INE727E01012,I
787,532746,Unity Infraprojects Ltd,INE466H01028,I
788,532378,Universal Arts Ltd,INE464B01018,0
789,507952,Shikhar Leasing & Trading Ltd,INE02BV01019,0
790,514144,Uniworth Ltd,INE207A01013,III
791,532402,USG Tech Solutions Ltd,INE718B01017,I
792,511736,Ushdev International Ltd,INE981D01025,I
793,532765,Usher Agro Ltd,INE235G01011,I
794,526941,Vaishno Cement Company Ltd,INE116E01018,0
795,530403,Vallabh Poly Plast International Ltd,INE862K01014,I
796,538918,Vani Commercials Ltd,INE661Q01017,II
797,539761,Vantage Knowledge Academy Ltd,INE427T01017,I
798,524796,Vardhaman Laboratories Ltd,INE503F01014,0
799,531444,Vardhman Concrete Ltd,INE115C01014,0
800,514175,Vardhman Polytex Ltd,INE835A01011,I
801,531574,Vas Infrastructure Ltd,INE192C01013,0
802,531650,Vax Housing Finance Corporation Ltd,INE761B01017,I
803,522015,VCCL Ltd,INE460E01010,0
804,511493,VCK Capital Market Services Ltd,INE488C01015,III
805,524038,Venlon Enterprises Ltd,INE204D01022,I
806,516098,Ventura Textiles Ltd,INE810C01044,III
807,530769,Venus Universal Ltd,INE381C01020,VI
808,515099,Vertical Industries Ltd,INE247Q01015,I
809,523796,Viceroy Hotels Ltd,INE048C01017,I
810,531234,Victory Paper & Boards India Ltd,INE962E01015,II
811,531334,Vikalp Securities Ltd,INE186E01011,0
812,519373,Vimal Oil & Foods Ltd,INE067D01015,I
813,504380,Vinaditya Trading Company Ltd,INE952M01019,0
814,531051,Vintage Securities Ltd,INE153C01015,I
815,517393,Vintron Informatics Ltd,INE043B01028,III
816,532354,Virgo Global Ltd,INE400B01020,0
817,531126,Virtualsoft Systems Ltd,INE237C01016,I
818,540097,Visco Trade Associates Ltd,INE890S01018,0
819,512064,Vishvprabha Ventures Ltd,INE762D01011,II
820,526441,Vision Cinemas Ltd,INE515B01025,I
821,538565,Vistar Amar Ltd,INE878P01019,I
822,590038,Visu International Ltd,INE965A01016,VI
823,538548,Vitan Agro Industries Ltd,INE186Q01023,III
824,530057,Vivanza Biosciences Ltd,INE984E01027,I
825,509038,Voltaire Leasing & Finance Ltd,INE763D01019,I
826,523888,VR Woodart Ltd,INE317D01014,I
827,519331,VSF Projects Ltd,INE923K01014,I
828,504220,W. S. Industries (India) Ltd,INE100D01014,I
829,524661,Welcure Drugs & Pharmaceuticals Ltd,INE331C01017,I
830,532016,Wellesley Corporation Ltd,INE176O01011,0
831,526431,Welterman International Ltd,INE662D01013,0
832,519214,Williamson Financial Services Ltd,INE188E01017,0
833,507892,Winsome Diamonds and Jewellery Ltd,INE664A01015,VI
834,538873,Winy Commercial & Fiscal Services Ltd,INE111C01013,VI
835,511642,Wisec Global Ltd,INE638C01015,I
836,531396,Women Networks Ltd,INE905B01010,0
837,505504,Sindu Valley Technologies Ltd,INE809Q01012,0
838,538451,Worth Investment & Trading Co Ltd,INE114O01012,I
839,532788,XL Energy Ltd,INE183H01011,I
840,531693,Yantra Natural Resources Ltd,INE903B01023,VI
841,514378,Yarn Syndicate Ltd,INE564C01013,0
842,531260,Sunedison Infrastructure Ltd,INE332F01018,0
843,536846,Yuranus Infrastructure Ltd,INE156M01017,I
844,531663,Yuvraaj Hygiene Products Ltd,INE139D01020,II
845,531845,Zenith Birla (India) Ltd,INE318D01020,I
846,508900,Zenith Capitals Ltd,INE132N01016,III
847,531404,Zicom Electronic Security Systems Ltd,INE871B01014,I
848,532883,Zylog Systems Ltd,INE225I01026,I
